shell_index,q,eigenvalue,multiplicity,mode_start,mode_end,complete_J,requested_max_J_cuts_shell,B_sq_shell,contribution,cumulative,fraction_of_last_cumulative,lambda_xx_finite_shell,parseval_contribution,parseval_cumulative,rigorous_flag
59,219,3842.565980157457,2,119,120,120,False,3.615147813085307e-24,9.53882956937011e-28,16.959031559641165,0.999638702312468,36.26579039957314,9.40816067115956e-28,10.259064250730955,exploratory_double
60,223,3912.7498336763147,2,121,122,122,False,0.6865614711886889,0.00017786050799334222,16.959209420149158,0.9996491861804163,36.265434678557156,0.0001754677657333421,10.259239718496689,exploratory_double
61,228,4000.479650574887,2,123,124,124,False,1.4721208455372598e-27,3.728925663359856e-31,16.959209420149158,0.9996491861804163,36.265434678557156,3.6798608519998584e-31,10.259239718496689,exploratory_double
62,229,4018.025613954601,2,125,126,126,False,0.0944039705205737,2.380699621214823e-05,16.95923322714537,0.9996505894677865,36.265387064564734,2.3495114165700874e-05,10.259263213610854,exploratory_double
63,237,4158.393320992316,2,127,128,128,False,1.9915961852374894e-27,4.850742375620842e-31,16.95923322714537,0.9996505894677865,36.265387064564734,4.789340573397794e-31,10.259263213610854,exploratory_double
64,241,4228.577174511174,2,129,130,130,False,0.0005256456593415547,1.25874832833112e-07,16.959233353020203,0.9996505968873939,36.265386812815066,1.2430792620033465e-07,10.25926333791878,exploratory_double
65,243,4263.669101270603,1,131,131,131,False,6.5994395128716876e-24,1.567178959734779e-27,16.959233353020203,0.9996505968873939,36.265386812815066,1.5478310713429915e-27,10.25926333791878,exploratory_double
66,244,4281.215064650317,2,132,133,133,False,7.0383956178672005,0.0016644831884097856,16.960897836208613,0.9997487087287824,36.262057846438246,0.001644018231175239,10.260907356149955,exploratory_double
67,247,4333.8529547894605,4,134,137,137,False,3.3909291897775162,0.0007920483177255385,16.96168988452634,0.9997953954838438,36.26047374980279,0.0007824282976721919,10.261689784447627,exploratory_double
68,252,4421.582771688032,2,138,139,139,False,5.047068780624542e-26,1.1552145695267374e-29,16.96168988452634,0.9997953954838438,36.26047374980279,1.1414620151276095e-29,10.261689784447627,exploratory_double
69,259,4544.404515346034,4,140,143,143,False,0.04367542381846078,9.72344012116816e-06,16.961699607966462,0.9997959686254781,36.26045430292255,9.61081340161795e-06,10.26169939526103,exploratory_double
70,268,4702.318185763464,2,144,145,145,False,0.011969134503189248,2.5741844045606867e-06,16.961702182150866,0.9997961203590454,36.26044915455374,2.545368907494709e-06,10.261701940629937,exploratory_double
71,271,4754.956075902606,2,146,147,147,False,2.491758570828189,0.0005299000349172735,16.962232082185782,0.9998273549599952,36.25938935448391,0.0005240339828702188,10.262225974612807,exploratory_double
72,273,4790.048002662035,4,148,151,151,False,4.578674392151899e-24,9.664931435951915e-28,16.962232082185782,0.9998273549599952,36.25938935448391,9.5587233981942e-28,10.262225974612807,exploratory_double
73,277,4860.231856180893,2,152,153,153,False,0.5595565910432766,0.00011639015170492402,16.962348472337485,0.9998342154991599,36.2591565741805,0.00011512960854566491,10.262341104221353,exploratory_double
74,279,4895.3237829403215,2,154,155,155,False,3.404761741495997e-28,7.030730088353024e-32,16.962348472337485,0.9998342154991599,36.2591565741805,6.955130840091164e-32,10.262341104221353,exploratory_double
75,283,4965.50763645918,2,156,157,157,False,0.07962082758588446,1.620658224157563e-05,16.962364678919727,0.9998351707852435,36.25912416101602,1.6034781016399912e-05,10.262357139002368,exploratory_double
76,291,5105.875343496895,2,158,159,159,False,3.213265415450255e-27,6.358825297859533e-31,16.962364678919727,0.9998351707852435,36.25912416101602,6.2932703978816e-31,10.262357139002368,exploratory_double
77,292,5123.421306876609,2,160,161,161,False,0.001069609310801071,2.109357120776529e-07,16.96236488985544,0.9998351832187071,36.25912373914459,2.087685643508277e-07,10.262357347770934,exploratory_double
78,300,5263.789013914325,1,162,162,162,False,8.670609767137707e-24,1.6638569024757713e-27,16.96236488985544,0.9998351832187071,36.25912373914459,1.6472183334510135e-27,10.262357347770934,exploratory_double
79,301,5281.334977294039,4,163,166,166,False,5.674391604747109,0.001085240072270993,16.96345012992771,0.9998991519644299,36.25695325900005,0.0010744237260357338,10.26343177149697,exploratory_double
80,304,5333.972867433182,2,167,168,168,False,2.7568596653756936,0.0005220005315376164,16.96397213045925,0.9999299209344692,36.25590925793697,0.0005168492105027058,10.263948620707472,exploratory_double
81,307,5386.610757572325,2,169,170,170,False,0.00018995041257168798,3.561143209622213e-08,16.963972166070683,0.9999299230335611,36.255909186714106,3.526343764577044e-08,10.26394865597091,exploratory_double
82,309,5421.702684331754,2,171,172,172,False,3.450531194447898e-26,6.42668942676968e-30,16.963972166070683,0.9999299230335611,36.255909186714106,6.364294383791332e-30,10.26394865597091,exploratory_double
83,313,5491.886537850612,2,173,174,174,False,0.0022082036011040963,4.0597585146860036e-07,16.963972572046533,0.9999299469635344,36.255908374762406,4.020847091222559e-07,10.26394905805562,exploratory_double
84,316,5544.524427989755,2,175,176,176,False,0.03614585086478069,6.581682016855229e-06,16.96397915372855,0.9999303349163515,36.255895211398375,6.5191976939104e-06,10.263955577253313,exploratory_double
85,325,5702.438098407185,2,177,178,178,False,0.010980318327949013,1.9434878974800163e-06,16.963981097216447,0.9999304494739377,36.25589132442258,1.925548009195585e-06,10.263957502801322,exploratory_double
86,327,5737.530025166614,2,179,180,180,False,1.5638627831752575e-28,2.750910212595794e-32,16.963981097216447,0.9999304494739377,36.25589132442258,2.725672504223355e-32,10.263957502801322,exploratory_double
87,331,5807.713878685471,2,181,182,182,False,2.0247983399547596,0.00035182825456770426,16.964332925471016,0.9999511877536325,36.25518766791344,0.0003486394788465468,10.264306142280168,exploratory_double
88,333,5842.8058054449,2,183,184,184,False,5.28026242360699e-24,9.119359750602602e-28,16.964332925471016,0.9999511877536325,36.25518766791344,9.037203356453029e-28,10.264306142280168,exploratory_double
89,336,5895.443695584044,2,185,186,186,False,3.0788274587884454e-27,5.269433147888111e-31,16.964332925471016,0.9999511877536325,36.25518766791344,5.222384637639111e-31,10.264306142280168,exploratory_double
90,337,5912.989658963758,2,187,188,188,False,0.46391197798118666,7.916111460220953e-05,16.964412086585618,0.9999558538522594,36.255029345684235,7.845641625263496e-05,10.26438459869642,exploratory_double
91,343,6018.2654392420445,4,189,192,192,False,0.0677036452061727,1.1348956107116314e-05,16.964423435541725,0.9999565228088395,36.25500664777202,1.1249694100348532e-05,10.26439584839052,exploratory_double
92,349,6123.541219520331,2,193,194,194,False,0.0013488895743857961,2.2218926924064357e-07,16.964423657730993,0.9999565359056364,36.255006203393485,2.2027933282883288e-07,10.264396068669853,exploratory_double
93,351,6158.63314627976,2,195,196,196,False,1.698343523479917e-27,2.781436034972257e-31,16.964423657730993,0.9999565359056364,36.255006203393485,2.7576630774083916e-31,10.264396068669853,exploratory_double
94,361,6334.092780076904,2,197,198,198,False,0.0062000730309490935,9.87044106753193e-07,16.9644246447751,0.999956594086287,36.25500422930527,9.788415241485957e-07,10.264397047511377,exploratory_double
95,363,6369.184706836332,1,199,199,199,False,9.112050819632703e-24,1.4425683975848745e-27,16.9644246447751,0.999956594086287,36.25500422930527,1.430646344712272e-27,10.264397047511377,exploratory_double
96,364,6386.730670216047,4,200,203,203,True,4.664351915254993,0.0007363883159283881,16.96516103309103,1.0,36.253531452673414,0.0007303191814564508,10.265127366692834,exploratory_double
