model,J,M,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,lambda_xx_tail_energy,lambda_xx_tail_bound,old_dirichlet_tail_energy,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
symmetry_x_even,51,98,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,27.29531426564229,29.742666600083222,36.324237337842554,7.3621555241082e-13,-75.12436434676357,3.194937251339482,3.2907853688796664,59.95335056724801,1610.1615858471562,2447.3523344409314,-12.833549515124755,-12.834697907128604,-1.0279793930945704,-1.029127785098419,False,True,exploratory_double
signed_xxy,51,98,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,29.742666600083222,29.742666600083222,36.324237337842554,7.3621555241082e-13,-75.12436434676357,3.194937251339482,3.2907853688796664,59.95335056724801,1610.1615858471562,2447.3523344409314,-12.833549515124755,-12.834697907128604,0.0305315775567081,0.02938318555285946,True,True,exploratory_double
symmetry_x_even,51,101,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,27.29531426564229,29.742666600083222,36.324237337842554,7.3621555241082e-13,-75.12436434676357,3.194937251339482,3.2907853688796664,59.95335056724801,1610.1615858471562,2447.3523344409314,-12.833549515124755,-12.834697907128604,-1.0279793930945704,-1.029127785098419,False,True,exploratory_double
signed_xxy,51,101,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,29.742666600083222,29.742666600083222,36.324237337842554,7.3621555241082e-13,-75.12436434676357,3.194937251339482,3.2907853688796664,59.95335056724801,1610.1615858471562,2447.3523344409314,-12.833549515124755,-12.834697907128604,0.0305315775567081,0.02938318555285946,True,True,exploratory_double
symmetry_x_even,51,200,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,29.48490099613746,31.907026862421926,36.324237337842554,7.3621555241082e-13,-75.12436434676357,2.144276929815838,2.2086052377103136,59.95335056724801,1579.0685666033332,2422.125866284467,-12.833549515124755,-12.834697907128604,-0.08095532026075425,-0.08210371226460289,False,True,exploratory_double
signed_xxy,51,200,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,31.907026862421926,31.907026862421926,36.324237337842554,7.3621555241082e-13,-75.12436434676357,2.144276929815838,2.2086052377103136,59.95335056724801,1579.0685666033332,2422.125866284467,-12.833549515124755,-12.834697907128604,0.9666448824889731,0.9654964904851244,True,True,exploratory_double
norm_bound,99,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,19.194093722809303,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074066,0.0,0.0,59.929521177974095,1514.9912266937772,1931.394082846672,-12.833549515124755,-12.834697907128604,-4.531860178700017,-4.533008570703865,False,True,exploratory_double
norm_bound,99,,dirichlet_parseval_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-118.18439758833824,-85.51685264393424,36.27540007259375,6.882875780575178e-13,-75.15885636074066,59.929521177974095,60.896126358264,59.929521177974095,2918.7247219435576,3480.2977249684177,-12.833549515124755,-12.834697907128604,-63.94980263756122,-63.95095102956506,False,True,exploratory_double
norm_bound,99,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,5.353281068858799,24.63752153128653,36.27540007259375,6.882875780575178e-13,-75.15885636074066,5.726575155246408,5.818939270653608,59.929521177974095,1679.224851514667,2491.9919472810607,-12.833549515124755,-12.834697907128604,-10.518187456044169,-10.519335848048017,False,True,exploratory_double
norm_bound,99,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,5.353281068858799,24.63752153128653,36.27540007259375,6.882875780575178e-13,-75.15885636074066,5.726575155246408,5.818939270653608,59.929521177974095,1679.224851514667,2491.9919472810607,-12.833549515124755,-12.834697907128604,-10.518187456044169,-10.519335848048017,False,True,exploratory_double
norm_bound,99,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,8.1986031124577,27.115149448328587,36.27540007259375,6.882875780575178e-13,-75.15885636074066,4.507424910352697,4.580125312132579,59.929521177974095,1645.2040211112728,2464.5061247581593,-12.833549515124755,-12.834697907128604,-9.287549531213717,-9.288697923217565,False,True,exploratory_double
