model,J,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
norm_bound,200,tail_ignored,square,0.0018934059659706172,0.0018934059659706172,0.0026776803961537777,29.72609920386882,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-12.842084665402721,-12.843636746194564,0.0015520807918445456,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,200,dirichlet_parseval_tail,x_only,0.0,0.0,0.0,-84.5177195018471,-84.5177195018471,36.25280331265571,6.190176925906037e-13,-75.17105008775113,2895.7915307177623,3453.848238655531,-12.820992204969132,-12.822561881283685,-49.41823828423266,-49.41980796054721,False,False,exploratory_double
norm_bound,200,dirichlet_parseval_tail,y_only,0.0,0.0,0.0,-84.5177195018471,-84.5177195018471,36.25280331265571,6.190176925906037e-13,-75.17105008775113,2895.7915307177623,3453.848238655531,-12.820992204969132,-12.822561881283685,-49.41823828423266,-49.41980796054721,False,False,exploratory_double
norm_bound,200,dirichlet_parseval_tail,omega_up_type,0.0,0.0,0.0,-84.5177195018471,-84.5177195018471,36.25280331265571,6.190176925906037e-13,-75.17105008775113,2895.7915307177623,3453.848238655531,-12.820992204969132,-12.822561881283685,-49.41823828423266,-49.41980796054721,False,False,exploratory_double
norm_bound,200,dirichlet_parseval_tail,square,0.0,0.0,0.0,-84.5177195018471,-84.5177195018471,36.25280331265571,6.190176925906037e-13,-75.17105008775113,2895.7915307177623,3453.848238655531,-12.820992204969132,-12.822561881283685,-49.41823828423266,-49.41980796054721,False,False,exploratory_double
symmetry_first_order,200,tail_ignored,x_only,0.2,0.0,0.2,36.25280331265571,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-13.35789251319255,-13.189512840739116,2.340031800387697,2.5084114728411304,True,False,exploratory_double
symmetry_first_order,200,tail_ignored,y_only,0.0,0.003333774157755608,0.003333774157755608,29.812784688194654,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-12.858061383566133,-12.859619903184033,0.0015585196179017657,1.7763568394002505e-15,True,False,exploratory_double
symmetry_first_order,200,tail_ignored,omega_up_type,0.033168550029463395,0.00331685500294634,0.03333398023290328,29.84546826750321,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-12.873970308380885,-12.870874584510565,1.7763568394002505e-15,0.003095723870321976,True,False,exploratory_double
symmetry_first_order,200,tail_ignored,square,0.0033336392399414246,0.0033336392399414246,0.004714477825184299,29.813045315698197,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-12.858222815100225,-12.859734334922365,0.0015115198221415937,1.7763568394002505e-15,True,False,exploratory_double
signed_xxy_first_order,200,tail_ignored,x_only,0.2,0.0,0.2,36.25280331265571,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-13.35789251319255,-13.189512840739116,2.340031800387697,2.5084114728411304,True,False,exploratory_double
signed_xxy_first_order,200,tail_ignored,y_only,0.0,0.09706470959540031,0.09706470959540031,36.25280331265571,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-13.9384904007992,-13.923922823606027,1.7763568394002505e-15,0.014567577193174586,True,False,exploratory_double
signed_xxy_first_order,200,tail_ignored,omega_up_type,0.2,0.020000000000000004,0.2009975124224178,36.25280331265571,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-13.637399066293009,-13.462063407637975,1.6979972141606794,1.8733328728157126,True,False,exploratory_double
signed_xxy_first_order,200,tail_ignored,square,0.09090244068784475,0.09090244068784475,0.12855546447356592,36.25280331265571,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-14.050190162131852,-13.99704097081967,1.7763568394002505e-15,0.05314919131218332,True,False,exploratory_double
