J,M,J_cluster_complete,M_cluster_complete,lambda_next,lambda1,alpha,G_norm_sq,D_J,N_M,old_dirichlet_tail_energy,neumann_corrected_tail_energy,old_tail_bound,neumann_corrected_tail_bound,tail_energy_ratio,lambda_xx_finite,lambda_xx_old_tail_lower,lambda_xx_neumann_tail_lower,lambda_xx_lower_improvement,rigorous_part,rigorous_flag
30,5,True,True,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,34.49333401720883,59.98661458062692,25.49328056341809,62.98594530965827,26.767944591588996,0.42498281894460027,36.393407478299366,-89.57848314101717,-17.142481704878627,72.43600143613855,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,10,True,True,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,47.31522797137836,59.929521177974095,12.614293206595732,60.88078341889432,12.814520082890903,0.2104854662384966,36.27540007259375,-85.4861667651949,10.646359906811941,96.13252667200683,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,5,True,True,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,34.49333401720883,59.919456471344404,25.426122454135573,60.41740209298993,25.63741987065194,0.4243383360177047,36.255004229305264,-84.5797999566746,-15.019835511998615,69.55996444467598,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,6,True,False,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,34.49333401720883,59.919456471344404,25.426122454135573,60.41740209298993,25.63741987065194,0.4243383360177047,36.255004229305264,-84.5797999566746,-15.019835511998615,69.55996444467598,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,7,True,True,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,47.31522797137836,59.919456471344404,12.604228499966041,60.41740209298993,12.708972781129196,0.2103528510141581,36.255004229305264,-84.5797999566746,10.837058667046872,95.41685862372148,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,8,True,False,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,47.31522797137836,59.919456471344404,12.604228499966041,60.41740209298993,12.708972781129196,0.2103528510141581,36.255004229305264,-84.5797999566746,10.837058667046872,95.41685862372148,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,9,True,True,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,47.31522797137836,59.919456471344404,12.604228499966041,60.41740209298993,12.708972781129196,0.2103528510141581,36.255004229305264,-84.5797999566746,10.837058667046872,95.41685862372148,Neumann-corrected tail formula; double precision inputs,exploratory_double
199,10,True,True,6386.730670216047,52.637890139143245,1.0083102493074794,70.18385351885578,10.264397047511384,47.31522797137836,59.919456471344404,12.604228499966041,60.41740209298993,12.708972781129196,0.2103528510141581,36.255004229305264,-84.5797999566746,10.837058667046872,95.41685862372148,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,5,True,True,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,34.49333401720883,59.91872615216295,25.425392134954116,60.41256180726319,25.634942070132308,0.42433131956755243,36.25353145267341,-84.57159216185298,-15.016352687591208,69.55523947426177,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,6,True,False,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,34.49333401720883,59.91872615216295,25.425392134954116,60.41256180726319,25.634942070132308,0.42433131956755243,36.25353145267341,-84.57159216185298,-15.016352687591208,69.55523947426177,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,7,True,True,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,47.31522797137836,59.91872615216295,12.603498180784584,60.41256180726319,12.70737316579105,0.21034322640267983,36.25353145267341,-84.57159216185298,10.838785121091306,95.41037728294428,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,8,True,False,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,47.31522797137836,59.91872615216295,12.603498180784584,60.41256180726319,12.70737316579105,0.21034322640267983,36.25353145267341,-84.57159216185298,10.838785121091306,95.41037728294428,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,9,True,True,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,47.31522797137836,59.91872615216295,12.603498180784584,60.41256180726319,12.70737316579105,0.21034322640267983,36.25353145267341,-84.57159216185298,10.838785121091306,95.41037728294428,Neumann-corrected tail formula; double precision inputs,exploratory_double
203,10,True,True,6439.36856035519,52.637890139143245,1.0082417582417582,70.18385351885578,10.265127366692841,47.31522797137836,59.91872615216295,12.603498180784584,60.41256180726319,12.70737316579105,0.21034322640267983,36.25353145267341,-84.57159216185298,10.838785121091306,95.41037728294428,Neumann-corrected tail formula; double precision inputs,exploratory_double
