model,J,M,M_cluster_complete,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,lambda_xx_tail_energy,lambda_xx_tail_bound,old_dirichlet_tail_energy,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
signed_xxy,30,10,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-8.602063399703656,-8.603211791707505,False,True,exploratory_double
norm_bound,49,,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,19.25294860290496,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-12.833549515124755,-12.834697907128604,-4.506404695490302,-4.50755308749415,False,True,exploratory_double
norm_bound,49,5,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-41.14832870975454,-16.220903201600002,36.325965036689574,7.73517509996302e-13,-75.10260472891373,25.46085368247021,26.273434119144788,59.95418769967904,2200.2918179290373,2924.5073288641684,-12.833549515124755,-12.834697907128604,-30.630724343729867,-30.631872735733715,False,True,exploratory_double
norm_bound,49,6,False,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-41.14832870975454,-16.220903201600002,36.325965036689574,7.73517509996302e-13,-75.10260472891373,25.46085368247021,26.273434119144788,59.95418769967904,2200.2918179290373,2924.5073288641684,-12.833549515124755,-12.834697907128604,-30.630724343729867,-30.631872735733715,False,True,exploratory_double
norm_bound,49,7,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-11.172994910923979,10.241303469771157,36.325965036689574,7.73517509996302e-13,-75.10260472891373,12.638959728300676,13.042330783459208,59.95418769967904,1875.1110783380807,2663.1875973143297,-12.833549515124755,-12.834697907128604,-17.666011732276502,-17.66716012428035,False,True,exploratory_double
norm_bound,49,8,False,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-11.172994910923979,10.241303469771157,36.325965036689574,7.73517509996302e-13,-75.10260472891373,12.638959728300676,13.042330783459208,59.95418769967904,1875.1110783380807,2663.1875973143297,-12.833549515124755,-12.834697907128604,-17.666011732276502,-17.66716012428035,False,True,exploratory_double
norm_bound,49,9,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-11.172994910923979,10.241303469771157,36.325965036689574,7.73517509996302e-13,-75.10260472891373,12.638959728300676,13.042330783459208,59.95418769967904,1875.1110783380807,2663.1875973143297,-12.833549515124755,-12.834697907128604,-17.666011732276502,-17.66716012428035,False,True,exploratory_double
norm_bound,49,10,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-11.172994910923979,10.241303469771157,36.325965036689574,7.73517509996302e-13,-75.10260472891373,12.638959728300676,13.042330783459208,59.95418769967904,1875.1110783380807,2663.1875973143297,-12.833549515124755,-12.834697907128604,-17.666011732276502,-17.66716012428035,False,True,exploratory_double
symmetry_x_even,49,,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,34.39538031456147,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-12.833549515124755,-12.834697907128604,2.042889357336678,2.0417409653328296,True,True,exploratory_double
signed_xxy,49,,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,36.325965036689574,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-12.833549515124755,-12.834697907128604,2.8778917717361434,2.8767433797322948,True,True,exploratory_double
