conjecture,step,i,j,x_lo_inf,x_hi_sup,y_lo_inf,y_hi_sup,L_lower,ok,min_so_far,run_timestamp
J2,1-2,8,77,0.58399999999999997,0.59600000000000009,0.77362540378443856,0.77482540378443876,1.28284033707094967e+01,1,1.03124595683208096e+01,2026-03-11 23:42:13
J2,1-2,8,78,0.58399999999999997,0.59600000000000009,0.77242540378443859,0.77362540378443879,1.28689796662863430e+01,1,1.03124595683208096e+01,2026-03-11 23:42:37
J2,1-2,8,79,0.58399999999999997,0.59600000000000009,0.7712254037844385,0.7724254037844387,1.29066012448282895e+01,1,1.03124595683208096e+01,2026-03-11 23:43:00
J2,1-2,8,80,0.58399999999999997,0.59600000000000009,0.77002540378443852,0.77122540378443872,1.29464557213504588e+01,1,1.03124595683208096e+01,2026-03-11 23:43:23
J2,1-2,8,81,0.58399999999999997,0.59600000000000009,0.76882540378443854,0.77002540378443874,1.29878134056321244e+01,1,1.03124595683208096e+01,2026-03-11 23:43:47
J2,1-2,8,82,0.58399999999999997,0.59600000000000009,0.76762540378443856,0.76882540378443876,1.30271049067361134e+01,1,1.03124595683208096e+01,2026-03-11 23:44:10
J2,1-2,8,83,0.58399999999999997,0.59600000000000009,0.76642540378443858,0.76762540378443878,1.30694434824344122e+01,1,1.03124595683208096e+01,2026-03-11 23:44:34
J2,1-2,8,84,0.58399999999999997,0.59600000000000009,0.7652254037844386,0.76642540378443869,1.31091580184940800e+01,1,1.03124595683208096e+01,2026-03-11 23:44:57
J2,1-2,8,85,0.58399999999999997,0.59600000000000009,0.76402540378443851,0.76522540378443871,1.31498828382548148e+01,1,1.03124595683208096e+01,2026-03-11 23:45:21
J2,1-2,8,86,0.58399999999999997,0.59600000000000009,0.76282540378443853,0.76402540378443873,1.31900605497052777e+01,1,1.03124595683208096e+01,2026-03-11 23:45:46
J2,1-2,8,87,0.58399999999999997,0.59600000000000009,0.76162540378443855,0.76282540378443875,1.32324190172099599e+01,1,1.03124595683208096e+01,2026-03-11 23:46:10
J2,1-2,8,88,0.58399999999999997,0.59600000000000009,0.76042540378443857,0.76162540378443878,1.32728017586731309e+01,1,1.03124595683208096e+01,2026-03-11 23:46:36
J2,1-2,8,89,0.58399999999999997,0.59600000000000009,0.7592254037844386,0.7604254037844388,1.33164829976291479e+01,1,1.03124595683208096e+01,2026-03-11 23:47:03
J2,1-2,8,90,0.58399999999999997,0.59600000000000009,0.75802540378443851,0.75922540378443871,1.33563898767197813e+01,1,1.03124595683208096e+01,2026-03-11 23:47:28
J2,1-2,8,91,0.58399999999999997,0.59600000000000009,0.75682540378443853,0.75802540378443873,1.33994503579504852e+01,1,1.03124595683208096e+01,2026-03-11 23:47:55
J2,1-2,8,92,0.58399999999999997,0.59600000000000009,0.75562540378443855,0.75682540378443875,1.34405856034053155e+01,1,1.03124595683208096e+01,2026-03-11 23:48:30
J2,1-2,8,93,0.58399999999999997,0.59600000000000009,0.75442540378443857,0.75562540378443877,1.34841757982112594e+01,1,1.03124595683208096e+01,2026-03-11 23:48:56
J2,1-2,8,94,0.58399999999999997,0.59600000000000009,0.75322540378443859,0.75442540378443879,1.35270256487886976e+01,1,1.03124595683208096e+01,2026-03-11 23:49:20
J2,1-2,8,95,0.58399999999999997,0.59600000000000009,0.7520254037844385,0.7532254037844387,1.35697629001834273e+01,1,1.03124595683208096e+01,2026-03-11 23:49:43
J2,1-2,8,96,0.58399999999999997,0.59600000000000009,0.75082540378443852,0.75202540378443872,1.36117006478938887e+01,1,1.03124595683208096e+01,2026-03-11 23:50:07
J2,1-2,8,97,0.58399999999999997,0.59600000000000009,0.74962540378443854,0.75082540378443874,1.36559900001709825e+01,1,1.03124595683208096e+01,2026-03-11 23:50:30
J2,1-2,8,98,0.58399999999999997,0.59600000000000009,0.74842540378443856,0.74962540378443876,1.36986022508327104e+01,1,1.03124595683208096e+01,2026-03-11 23:50:53
J2,1-2,8,99,0.58399999999999997,0.59600000000000009,0.74722540378443858,0.74842540378443879,1.37442796284809053e+01,1,1.03124595683208096e+01,2026-03-11 23:51:16
J2,1-2,8,100,0.58399999999999997,0.59600000000000009,0.7460254037844385,0.7472254037844387,1.37863184000232444e+01,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,1,0.59599999999999998,0.6080000000000001,0.86482540378443851,0.86602540378443871,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,2,0.59599999999999998,0.6080000000000001,0.86362540378443853,0.86482540378443873,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,3,0.59599999999999998,0.6080000000000001,0.86242540378443855,0.86362540378443875,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,4,0.59599999999999998,0.6080000000000001,0.86122540378443858,0.86242540378443878,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,5,0.59599999999999998,0.6080000000000001,0.8600254037844386,0.8612254037844388,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,6,0.59599999999999998,0.6080000000000001,0.85882540378443851,0.86002540378443882,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,7,0.59599999999999998,0.6080000000000001,0.85762540378443853,0.85882540378443873,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,8,0.59599999999999998,0.6080000000000001,0.85642540378443855,0.85762540378443875,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
