id,s_lo,s_hi,s_mid,midpoint_ritz,rayleigh_lower,rayleigh_upper,target_11_5_verified,down_scaled_upper
68,0.335,0.34,0.3375,11.1610123137073,11.1569463802681,11.165078247137,1,-1.80120437912901
69,0.34,0.345,0.3425,11.1672751529491,11.1635455470268,11.1710047588897,1,-1.79997829549661
70,0.345,0.35,0.3475,11.1728655562039,11.1694665463752,11.176264566044,1,-1.80120750988609
71,0.35,0.355,0.3525,11.1777986117358,11.1747205195582,11.1808767039227,1,-1.80483724156766
72,0.355,0.36,0.3575,11.1820972792135,11.1793265384822,11.1848680199656,1,-1.81078825304165
73,0.36,0.365,0.3625,11.1857922300996,11.1833114908059,11.1882729693822,1,-1.81895749647101
74,0.365,0.37,0.3675,11.1889215989413,11.1867098750324,11.1911333228655,1,-1.82921903702002
75,0.37,0.375,0.3725,11.1915306470102,11.1895635075576,11.1934977864958,1,-1.84142525269752
76,0.375,0.38,0.3775,11.1936713412034,11.1919211427208,11.195421539703,1,-1.85540829222874
77,0.38,0.385,0.3825,11.1954018525606,11.1938380098194,11.1969656953005,1,-1.87098177833279
78,0.385,0.39,0.3875,11.1967859801437,11.1953752724265,11.1981966878622,1,-1.88794273666168
79,0.39,0.395,0.3925,11.1978925072875,11.1965994164497,11.1991855981283,1,-1.90607372620924
80,0.395,0.4,0.3975,11.1987944983805,11.1975815740192,11.2000074227875,1,-1.92514514177307
81,0.4,0.405,0.4025,11.1995685452896,11.1983967924228,11.200740298125,1,-1.94491766174522
82,0.405,0.41,0.4075,11.2002939733178,11.1991232573892,11.2014646892385,1,-1.96514480439636
83,0.41,0.415,0.4125,11.2010520171343,11.1998414815086,11.2022625527817,1,-1.98557556760523
84,0.415,0.42,0.4175,11.201924977455,11.2006334667709,11.203216488103,1,-2.00595710523211
85,0.42,0.425,0.4225,11.2029953693621,11.2015818549999,11.2044088837582,1,-2.02603741817104
86,0.425,0.43,0.4275,11.2043450730507,11.2027690735349,11.2059210725649,1,-2.045568018634
87,0.43,0.435,0.4325,11.2060544974837,11.2042764904711,11.2078325045772,1,-2.06430653815006
88,0.435,0.44,0.4375,11.2082017669548,11.2061835862681,11.2102199476367,1,-2.08201924887876
89,0.44,0.445,0.4425,11.2108619399166,11.2085671550795,11.2131567247083,1,-2.09848346926551
90,0.445,0.45,0.4475,11.2141062686516,11.2115005410767,11.2167119962422,1,-2.11348982808648
91,0.45,0.455,0.4525,11.2180015074976,11.2150529205883,11.2209500944578,1,-2.12684436518634
92,0.455,0.46,0.4575,11.2226092763799,11.219288636223,11.2259299165248,1,-2.13837044695245
93,0.46,0.465,0.4625,11.2279854854138,11.2242665899647,11.2317043808661,1,-2.14791048322848
94,0.465,0.47,0.4675,11.2341798253291,11.2300396990696,11.2383199516526,1,-2.15532742970732
95,0.47,0.475,0.4725,11.2412353274535,11.236654420977,11.2458162339501,1,-2.1605060680657
96,0.475,0.48,0.4775,11.2491879960188,11.2441503483696,11.254225643681,1,-2.16335405073506
97,0.48,0.485,0.4825,11.2580665146151,11.2525598786365,11.2635731505764,1,-2.16380271605319
98,0.485,0.49,0.4875,11.2678920277379,11.2619079576682,11.2738760978207,1,-2.16180766214385
99,0.49,0.495,0.4925,11.2786779975738,11.2722118992161,11.2851440959382,1,-2.15734908724206
100,0.495,0.5,0.4975,11.2904301354415,11.2834812793499,11.2973789915027,1,-2.15043189463105
101,0.5,0.505,0.5025,11.3031464066591,11.2957179049887,11.3105749083626,1,-2.14108556946207
102,0.505,0.51,0.5075,11.3168171070583,11.3089158555518,11.3247183585923,1,-2.12936383622938
103,0.51,0.515,0.5125,11.3314250088945,11.323061595204,11.3397884225788,1,-2.11534409876684
104,0.515,0.52,0.5175,11.3469455735129,11.3381341518548,11.3557569951907,1,-2.09912667237132
105,0.52,0.525,0.5225,11.363347227829,11.3541053646186,11.3725890910262,1,-2.08083383009936
106,0.525,0.53,0.5275,11.3805917014446,11.3709401898926,11.3902432129651,1,-2.06060864993468
107,0.53,0.535,0.5325,11.3986344210536,11.3885970692708,11.4086717727897,1,-2.03861369819111
108,0.535,0.54,0.5375,11.4174249586745,11.4070283517446,11.4278215657066,1,-2.01502954338327
109,0.54,0.545,0.5425,11.436907530187,11.4261807678726,11.4476342924962,1,-1.98918843670819
110,0.545,0.55,0.5475,11.4570215406004,11.4459959541052,11.4680471271036,1,-1.96215164051878
111,0.55,0.555,0.5525,11.4777021724833,11.4664110187375,11.4889933262463,1,-1.93418487216726
112,0.555,0.56,0.5575,11.4988810139612,11.4873591532426,11.5104028746751,0,-1.90551179009908
113,0.56,0.565,0.5625,11.5204867226846,11.508770279137,11.5322031663157,0,-1.87636418721524
114,0.565,0.57,0.5675,11.5424457221264,11.5305717276722,11.5543197166582,0,-1.84697986918679
115,0.57,0.575,0.5725,11.5646829264987,11.5526889542664,11.5766768987385,0,-1.81760046236491
116,0.575,0.58,0.5775,11.5871224904584,11.5750462747098,11.5991987062611,0,-1.78846914066568
